Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
No,36,Non-Travel,Sales,10,4,Medical,592,2,Male,3,Sales Executive,4,Single,9980,1,No,14,4,0,10,3,2,10,3,7
No,44,Travel_Rarely,Sales,1,5,Marketing,68,2,Female,3,Sales Executive,1,Divorced,5454,5,Yes,21,3,1,9,2,2,4,3,3
Yes,29,Travel_Frequently,Research & Development,24,2,Life Sciences,1868,4,Male,2,Research Scientist,4,Single,2439,1,Yes,24,2,0,1,3,2,1,0,0
No,32,Travel_Rarely,Research & Development,1,3,Medical,78,1,Male,3,Manufacturing Director,4,Married,6162,1,Yes,22,2,1,9,3,3,9,8,8
Yes,29,Travel_Rarely,Research & Development,18,1,Medical,315,3,Male,2,Research Scientist,4,Single,2389,1,Yes,13,3,0,4,3,2,4,3,1
Yes,35,Travel_Rarely,Sales,27,3,Life Sciences,1797,3,Male,3,Sales Executive,4,Single,5813,1,Yes,18,4,0,10,2,3,10,7,7
No,37,Travel_Rarely,Research & Development,14,3,Life Sciences,515,4,Female,3,Laboratory Technician,1,Divorced,3034,1,No,12,3,1,18,2,2,18,7,17
No,39,Travel_Rarely,Sales,24,1,Marketing,2056,2,Female,2,Sales Executive,4,Married,12031,,No,11,1,1,21,2,2,20,9,6
No,40,Travel_Rarely,Research & Development,16,3,Life Sciences,1641,3,Female,3,Manufacturing Director,4,Single,7945,6,Yes,15,4,0,18,2,2,4,2,3
No,56,Travel_Rarely,Research & Development,7,3,Life Sciences,112,4,Male,1,Manufacturing Director,4,Single,7260,4,No,11,1,0,37,3,2,6,4,2
No,30,Travel_Rarely,Sales,29,4,Technical Degree,1568,3,Male,3,Sales Executive,2,Married,9250,3,No,12,2,1,9,3,3,4,2,3
Yes,32,Non-Travel,Sales,11,4,Other,631,4,Male,4,Sales Executive,3,Married,4707,8,No,12,4,0,6,2,3,4,2,2
Yes,53,Travel_Rarely,Sales,24,4,Life Sciences,1968,1,Male,3,Sales Executive,1,Single,10448,,Yes,13,2,0,15,2,2,2,2,2
No,36,Travel_Rarely,Research & Development,5,4,Life Sciences,51,2,Female,2,Research Scientist,1,Married,3419,9,Yes,14,4,1,6,3,4,1,1,0
No,33,Travel_Rarely,Research & Development,13,1,Life Sciences,995,2,Female,3,Research Scientist,4,Single,3452,3,No,18,1,0,5,4,3,3,2,2
No,28,Non-Travel,Sales,4,3,Medical,129,2,Male,3,Sales Executive,3,Married,4221,1,No,15,2,0,5,3,4,5,4,4
No,54,Travel_Rarely,Research & Development,7,4,Medical,1830,4,Female,3,Research Scientist,4,Married,6854,4,No,15,2,1,14,2,2,7,1,7
Yes,29,Travel_Rarely,Sales,23,1,Life Sciences,1165,4,Female,2,Sales Executive,1,Married,7336,1,No,13,1,1,11,3,1,11,8,10
No,55,Travel_Rarely,Research & Development,14,4,Medical,254,3,Male,4,Research Director,2,Single,18722,8,No,11,4,0,36,3,3,24,15,15
No,40,Travel_Rarely,Sales,14,2,Life Sciences,1598,4,Female,3,Sales Executive,1,Married,4639,1,No,15,3,1,5,2,3,5,4,2
No,55,Travel_Rarely,Sales,,2,Life Sciences,106,1,Male,3,Sales Executive,4,Married,10239,3,No,14,4,1,24,4,3,1,0,0
Yes,29,Travel_Rarely,Research & Development,1,4,Medical,2027,1,Male,3,Research Scientist,4,Married,4787,9,Yes,14,2,3,4,3,4,2,2,2
No,22,Travel_Rarely,Research & Development,1,2,Life Sciences,2007,4,Male,3,Research Scientist,3,Single,3375,0,No,12,4,0,4,2,4,3,2,2
No,29,Travel_Frequently,Research & Development,20,1,Medical,1852,4,Male,3,Laboratory Technician,4,Married,3812,1,No,13,2,0,11,3,4,11,8,10
No,28,Travel_Rarely,Research & Development,3,3,Medical,1121,4,Female,3,Manufacturing Director,2,Divorced,7655,0,No,17,2,3,10,3,2,9,7,7
No,31,Travel_Rarely,Human Resources,8,2,Medical,1461,4,Female,4,Human Resources,2,Single,2109,9,No,18,4,0,8,3,3,3,2,2
No,44,Travel_Frequently,Research & Development,2,1,Medical,1496,2,Male,3,Manufacturing Director,3,Single,10209,5,Yes,18,2,0,16,2,2,2,2,2
No,22,Travel_Rarely,Research & Development,19,1,Medical,217,3,Male,3,Research Scientist,4,Married,2323,1,No,24,1,2,2,6,3,2,2,2
No,31,Travel_Rarely,Research & Development,2,1,Medical,1974,4,Female,1,Laboratory Technician,4,Divorced,1129,1,Yes,11,3,3,1,4,3,1,0,0
No,50,Travel_Rarely,Research & Development,29,4,Life Sciences,569,2,Male,2,Manager,3,Married,17046,0,No,15,2,1,28,2,3,27,10,7
No,35,Travel_Rarely,Research & Development,16,3,Medical,14,1,Male,4,Laboratory Technician,2,Married,2426,0,No,13,3,1,6,5,3,5,4,3
No,46,Travel_Rarely,Research & Development,2,3,Life Sciences,575,1,Male,3,Research Director,3,Married,17861,6,No,13,3,0,26,2,1,3,2,1
No,40,Travel_Rarely,Sales,9,2,Medical,1548,1,Male,3,Sales Executive,1,Married,5473,0,No,12,4,0,9,5,4,8,4,1
No,37,Travel_Rarely,Research & Development,1,3,Life Sciences,1196,4,Female,2,Manufacturing Director,4,Married,6474,1,No,13,2,1,14,2,2,14,8,11
No,59,Non-Travel,Human Resources,2,4,Human Resources,140,3,Female,2,Manager,4,Married,18844,9,No,21,4,1,30,3,3,3,2,2
No,55,Travel_Rarely,Sales,26,5,Marketing,1578,3,Male,2,Manager,4,Married,19586,1,No,21,3,1,36,3,3,36,6,13
No,22,Non-Travel,Research & Development,16,2,Medical,22,4,Male,4,Laboratory Technician,4,Divorced,2935,1,Yes,13,2,2,1,2,2,1,0,0
Yes,44,Travel_Rarely,Human Resources,1,2,Medical,1098,2,Male,2,Human Resources,1,Married,10482,9,No,14,4,1,24,1,3,20,6,6
Yes,23,Travel_Rarely,Sales,7,3,Life Sciences,1702,3,Male,3,Sales Representative,4,Divorced,2275,1,Yes,21,2,1,3,2,3,3,2,2
No,47,Travel_Rarely,Research & Development,2,4,Medical,1443,1,Female,3,Research Director,3,Married,17169,3,No,19,2,2,26,2,4,20,17,6
No,50,Travel_Rarely,Sales,9,3,Marketing,1591,3,Male,3,Manager,3,Married,19331,4,Yes,16,3,1,27,2,3,1,0,0
No,35,Travel_Rarely,Research & Development,25,3,Technical Degree,899,4,Male,2,Manufacturing Director,2,Married,10903,3,No,16,1,0,16,2,3,13,10,8
No,31,Travel_Rarely,Research & Development,4,3,Medical,1916,1,Female,4,Laboratory Technician,3,Divorced,3978,8,No,12,2,1,4,0,2,2,2,2
No,33,Travel_Rarely,Research & Development,8,5,Life Sciences,1515,4,Male,3,Healthcare Representative,3,Single,6388,2,Yes,17,1,0,14,6,3,0,0,0
No,35,Travel_Rarely,Sales,28,4,Life Sciences,1554,2,Female,2,Sales Representative,3,Married,2430,,No,23,1,2,6,5,3,5,3,2
No,39,Travel_Rarely,Research & Development,1,3,Medical,417,3,Male,4,Healthcare Representative,4,Divorced,9613,0,No,17,1,3,19,5,2,18,10,7
No,46,Travel_Rarely,Sales,2,3,Technical Degree,363,3,Female,1,Manager,2,Married,16872,3,Yes,12,2,1,28,2,2,7,7,7
No,36,Travel_Rarely,Research & Development,6,3,Life Sciences,373,4,Male,3,Laboratory Technician,4,Married,3210,0,No,11,3,1,16,4,3,15,13,11
No,41,Non-Travel,Human Resources,4,3,Human Resources,1722,3,Male,1,Human Resources,2,Married,6430,6,No,19,2,1,10,4,3,3,2,2
No,33,Travel_Frequently,Research & Development,7,2,Life Sciences,1970,4,Male,3,Healthcare Representative,3,Divorced,5968,1,No,20,3,3,9,2,3,9,7,8
No,37,Travel_Rarely,Sales,6,4,Medical,378,3,Male,3,Sales Executive,4,Married,6502,4,No,14,2,1,7,5,4,5,4,1
No,38,Non-Travel,Research & Development,6,3,Medical,107,2,Female,1,Research Scientist,4,Divorced,5329,7,Yes,12,4,3,17,3,3,13,11,9
No,38,Travel_Frequently,Research & Development,2,4,Life Sciences,803,1,Female,4,Manufacturing Director,1,Single,5980,6,Yes,12,4,0,17,2,3,15,7,12
No,46,Travel_Rarely,Research & Development,18,3,Medical,550,3,Female,3,Manufacturing Director,3,Divorced,4810,2,No,14,3,1,19,5,2,10,7,8
No,54,Travel_Frequently,Research & Development,,4,Medical,1520,2,Female,3,Manager,4,Divorced,16032,3,No,20,1,1,26,2,3,14,9,12
No,18,Non-Travel,Research & Development,1,3,Life Sciences,1368,4,Female,3,Laboratory Technician,4,Single,1611,1,No,15,3,0,0,5,4,0,0,0
No,39,Travel_Rarely,Sales,6,3,Medical,1588,4,Male,4,Sales Executive,3,Married,8237,2,No,11,1,1,11,3,3,7,6,6
No,32,Travel_Rarely,Research & Development,5,4,Other,1607,2,Female,4,Research Scientist,4,Married,3312,3,No,17,4,2,6,3,3,3,2,2
No,39,Travel_Rarely,Research & Development,19,4,Other,1871,4,Male,3,Research Scientist,4,Divorced,3902,8,No,14,2,3,7,2,3,2,2,2
No,41,Travel_Frequently,Research & Development,9,3,Medical,999,1,Male,3,Research Director,3,Divorced,19419,2,No,17,2,1,21,2,4,18,16,11
No,22,Non-Travel,Research & Development,26,2,Other,1605,2,Female,2,Research Scientist,3,Married,2814,1,Yes,14,2,0,4,2,2,4,2,3
No,25,Travel_Rarely,Research & Development,19,1,Medical,1358,4,Male,3,Laboratory Technician,4,Married,3669,3,No,11,3,3,7,6,2,3,2,2
No,53,Travel_Rarely,Research & Development,2,3,Medical,1472,4,Male,4,Research Director,2,Single,16598,4,No,12,2,0,35,2,2,9,8,8
No,52,Travel_Rarely,Research & Development,8,4,Other,1409,3,Female,3,Laboratory Technician,1,Married,2950,9,No,13,3,0,12,2,1,5,4,4
No,47,Travel_Rarely,Research & Development,4,3,Life Sciences,1827,3,Female,2,Manufacturing Director,2,Divorced,10333,8,Yes,12,3,1,28,4,3,22,11,10
No,32,Travel_Rarely,Research & Development,9,4,Life Sciences,679,1,Female,3,Research Scientist,4,Married,6322,1,Yes,12,4,1,6,2,2,6,4,5
No,41,Non-Travel,Research & Development,7,1,Life Sciences,1035,2,Female,1,Research Director,3,Divorced,19973,1,No,22,2,2,21,3,3,21,16,10
No,30,Travel_Rarely,Sales,8,2,Other,982,3,Male,3,Sales Executive,3,Divorced,7264,5,No,11,1,1,10,2,4,8,4,7
No,27,Non-Travel,Research & Development,3,3,Medical,850,4,Male,3,Research Scientist,4,Married,1706,1,No,11,3,3,0,6,2,0,0,0
No,36,Travel_Rarely,Research & Development,6,3,Life Sciences,97,2,Female,4,Laboratory Technician,4,Married,3038,3,No,12,2,0,5,3,3,1,0,0
No,26,Travel_Rarely,Sales,23,3,Marketing,72,3,Female,2,Sales Executive,4,Married,4157,7,Yes,19,3,1,5,2,2,2,2,0
Yes,36,Travel_Rarely,Sales,9,4,Life Sciences,27,3,Male,2,Sales Representative,1,Single,3407,7,No,23,2,0,10,4,3,5,3,3
No,52,Travel_Rarely,Research & Development,1,4,Life Sciences,259,3,Male,2,Manager,3,Married,19999,0,No,14,1,1,34,5,3,33,18,9
No,40,Travel_Rarely,Sales,2,2,Marketing,1986,2,Female,3,Sales Executive,2,Married,5677,3,No,14,3,1,15,4,3,11,8,10
No,43,Travel_Rarely,Research & Development,8,4,Other,526,3,Female,3,Healthcare Representative,3,Divorced,4522,4,Yes,14,4,0,8,3,3,5,2,2
No,42,Travel_Rarely,Research & Development,29,3,Medical,1148,2,Male,1,Laboratory Technician,4,Single,4272,4,No,19,1,0,16,3,3,1,0,0
No,41,Travel_Rarely,Research & Development,5,3,Life Sciences,1814,2,Male,4,Healthcare Representative,2,Single,6870,3,No,12,1,0,11,3,1,3,2,2
No,32,Travel_Rarely,Research & Development,29,4,Life Sciences,2010,3,Female,2,Laboratory Technician,2,Single,2837,,No,13,3,0,6,3,3,6,2,1
No,34,Non-Travel,Sales,4,4,Marketing,523,3,Female,3,Sales Executive,3,Married,6538,9,No,15,1,1,6,3,3,3,2,2
Yes,34,Travel_Rarely,Sales,24,4,Medical,1489,1,Female,2,Sales Executive,2,Single,4599,0,Yes,23,3,0,16,2,4,15,9,10
No,47,Travel_Frequently,Sales,4,1,Medical,467,2,Male,3,Sales Representative,3,Single,2976,3,No,19,1,0,5,3,3,0,0,0
No,31,Travel_Frequently,Sales,7,4,Marketing,1833,1,Female,3,Sales Executive,1,Married,9637,2,No,14,4,2,9,3,3,3,2,2
No,30,Travel_Rarely,Research & Development,28,2,Medical,441,4,Female,3,Research Scientist,4,Married,5775,1,No,13,4,2,11,2,3,10,8,9
No,42,Travel_Rarely,Sales,5,2,Marketing,1029,4,Male,3,Manager,3,Married,18303,6,No,13,2,0,21,3,4,1,0,0
Yes,31,Travel_Frequently,Sales,,4,Life Sciences,1427,2,Female,1,Sales Representative,3,Single,1359,1,No,12,2,0,1,3,3,1,0,0
No,30,Non-Travel,Sales,25,2,Technical Degree,475,4,Female,3,Sales Executive,3,Married,4736,7,Yes,12,2,1,4,2,4,2,2,2
No,53,Non-Travel,Research & Development,1,4,Medical,1775,1,Female,2,Manufacturing Director,3,Married,12965,4,Yes,20,4,3,27,2,2,3,2,2
Yes,28,Travel_Rarely,Research & Development,17,3,Technical Degree,1960,3,Male,2,Laboratory Technician,4,Divorced,2367,5,No,12,1,1,6,2,2,4,1,3
No,29,Travel_Rarely,Research & Development,15,2,Life Sciences,15,4,Female,2,Laboratory Technician,3,Single,4193,0,Yes,12,4,0,10,3,3,9,5,8
Yes,40,Travel_Rarely,Sales,22,2,Marketing,492,3,Male,2,Sales Executive,3,Married,6380,2,Yes,12,1,2,8,6,3,6,4,0
No,36,Travel_Rarely,Human Resources,8,3,Life Sciences,878,1,Male,2,Human Resources,1,Married,2342,0,No,21,3,0,6,3,3,5,4,3
No,35,Travel_Rarely,Research & Development,22,3,Life Sciences,381,2,Female,4,Manager,2,Divorced,11996,7,No,18,2,1,10,6,2,7,7,2
No,35,Travel_Rarely,Research & Development,1,3,Medical,1369,4,Female,2,Laboratory Technician,4,Married,5363,0,No,12,2,1,10,0,3,9,7,0
No,41,Travel_Rarely,Research & Development,7,2,Medical,1025,4,Female,3,Manufacturing Director,3,Single,5003,6,No,14,2,0,8,6,3,2,2,1
No,32,Travel_Rarely,Sales,7,5,Marketing,1446,4,Male,3,Sales Executive,4,Married,9204,4,No,12,3,1,7,3,2,4,3,3
No,39,Travel_Rarely,Sales,15,4,Marketing,1975,2,Male,3,Sales Executive,1,Single,13341,0,No,12,1,0,21,3,3,20,8,10
No,46,Travel_Rarely,Sales,2,3,Life Sciences,1732,3,Male,3,Sales Executive,4,Divorced,10368,4,Yes,12,2,1,13,5,2,10,6,3
Yes,31,Travel_Rarely,Sales,16,4,Marketing,1761,1,Male,3,Sales Executive,3,Married,8161,2,No,13,1,3,10,2,3,1,0,0
No,31,Travel_Rarely,Research & Development,8,5,Life Sciences,1430,1,Female,3,Research Director,2,Single,16422,3,No,11,3,0,9,3,4,3,2,0
No,34,Travel_Frequently,Research & Development,1,3,Medical,1184,4,Male,2,Healthcare Representative,1,Single,5343,0,No,20,3,0,14,3,3,13,9,9
Yes,37,Travel_Rarely,Research & Development,10,4,Medical,1809,4,Male,3,Manufacturing Director,1,Single,4213,1,No,15,2,0,10,4,1,10,3,8
No,20,Travel_Rarely,Sales,2,3,Medical,1657,3,Female,3,Sales Representative,3,Single,2783,1,No,19,1,0,2,3,3,2,2,2
No,24,Travel_Frequently,Sales,24,3,Medical,632,4,Male,3,Sales Representative,4,Married,2400,0,No,13,3,2,3,3,3,2,2,1
No,39,Travel_Rarely,Research & Development,10,5,Medical,1618,2,Male,3,Manufacturing Director,1,Married,5377,2,No,13,4,3,10,3,3,7,7,7
Yes,30,Travel_Rarely,Sales,1,3,Life Sciences,1562,2,Male,2,Sales Executive,1,Married,9714,1,No,11,4,1,10,4,3,10,8,7
Yes,26,Travel_Rarely,Research & Development,16,4,Medical,394,1,Male,3,Laboratory Technician,2,Divorced,2373,2,Yes,13,4,1,5,2,3,3,2,2
No,58,Travel_Rarely,Research & Development,1,3,Medical,1423,4,Female,3,Research Director,1,Married,19701,3,Yes,21,3,1,32,3,3,9,8,5
No,33,Non-Travel,Research & Development,4,3,Technical Degree,1771,4,Male,3,Research Scientist,2,Divorced,3055,,No,15,4,2,11,2,2,9,8,7
No,35,Travel_Rarely,Research & Development,1,4,Life Sciences,2052,3,Female,1,Research Scientist,4,Married,2977,1,No,12,4,1,4,5,3,4,3,1
No,49,Travel_Rarely,Research & Development,25,4,Life Sciences,1617,3,Female,3,Laboratory Technician,1,Married,3211,1,No,14,4,1,10,3,2,9,6,4
No,31,Travel_Rarely,Research & Development,5,4,Technical Degree,423,3,Male,3,Research Scientist,4,Married,4821,0,Yes,12,3,1,6,4,3,5,2,3
No,29,Travel_Rarely,Sales,10,1,Marketing,463,4,Female,2,Sales Executive,2,Divorced,8268,1,Yes,14,1,2,7,2,3,7,7,7
No,24,Travel_Rarely,Research & Development,1,2,Life Sciences,1981,2,Male,2,Healthcare Representative,3,Single,4617,1,No,12,2,0,4,2,2,4,3,2
Yes,35,Travel_Frequently,Sales,18,4,Marketing,1380,4,Female,3,Sales Executive,3,Married,4614,0,Yes,18,3,1,5,0,2,4,2,2
No,36,Non-Travel,Sales,,4,Life Sciences,789,1,Male,2,Sales Executive,1,Single,7587,1,No,15,2,0,10,1,3,10,7,9
Yes,56,Travel_Rarely,Research & Development,14,4,Life Sciences,161,2,Female,3,Research Scientist,2,Married,4963,9,Yes,18,1,3,7,2,3,5,4,3
No,28,Travel_Rarely,Sales,26,3,Life Sciences,1387,3,Male,2,Sales Executive,1,Married,4724,1,No,11,3,1,5,0,3,5,3,4
No,35,Non-Travel,Research & Development,3,3,Life Sciences,704,3,Male,2,Laboratory Technician,3,Married,1281,1,No,18,3,2,1,3,3,1,0,0
No,54,Travel_Rarely,Research & Development,9,2,Life Sciences,1969,1,Female,3,Research Scientist,3,Married,2897,3,No,11,3,2,9,6,2,4,3,3
No,30,Travel_Rarely,Sales,16,1,Life Sciences,1479,4,Male,3,Sales Executive,3,Married,5301,8,No,15,3,2,4,2,2,2,1,2
No,42,Travel_Frequently,Research & Development,29,2,Life Sciences,547,1,Female,3,Research Scientist,3,Divorced,4556,2,No,11,2,1,19,3,3,5,4,2
No,54,Travel_Rarely,Research & Development,2,4,Technical Degree,126,1,Female,3,Research Director,3,Married,13549,9,No,12,1,1,16,5,1,4,3,3
No,59,Travel_Rarely,Research & Development,18,4,Medical,1283,4,Male,3,Manufacturing Director,4,Single,10512,6,No,12,4,0,25,6,2,9,7,4
No,52,Non-Travel,Sales,29,4,Life Sciences,2019,1,Male,3,Sales Representative,4,Divorced,3482,2,No,15,2,2,16,3,2,9,8,0
No,38,Travel_Rarely,Research & Development,15,2,Life Sciences,461,3,Male,2,Research Director,4,Divorced,11510,0,Yes,14,2,1,12,3,3,11,10,9
No,31,Travel_Rarely,Research & Development,9,4,Life Sciences,493,3,Male,2,Research Scientist,2,Single,2657,0,Yes,16,4,0,3,5,3,2,2,2
No,33,Travel_Rarely,Sales,10,5,Marketing,1268,4,Male,4,Sales Executive,3,Divorced,8380,0,Yes,14,4,2,10,3,3,9,8,8
No,33,Travel_Rarely,Research & Development,15,2,Medical,2009,2,Female,3,Healthcare Representative,4,Married,4878,0,Yes,13,1,1,10,6,3,9,7,1
No,44,Travel_Rarely,Research & Development,4,3,Medical,852,4,Male,3,Healthcare Representative,2,Single,5933,9,No,12,4,0,10,2,2,5,2,3
Yes,19,Travel_Frequently,Sales,1,1,Technical Degree,235,3,Female,1,Sales Representative,1,Single,2325,0,No,21,1,0,1,5,4,0,0,0
No,37,Non-Travel,Research & Development,2,2,Life Sciences,139,3,Male,2,Healthcare Representative,4,Divorced,5163,5,No,14,4,1,17,2,4,1,0,0
No,35,Travel_Rarely,Human Resources,8,4,Technical Degree,1164,3,Male,3,Human Resources,3,Single,4323,1,No,17,2,0,6,2,1,5,4,4
No,37,Travel_Rarely,Research & Development,10,1,Life Sciences,802,4,Female,3,Research Scientist,1,Divorced,2782,0,Yes,13,2,2,6,3,2,5,3,3
No,36,Travel_Rarely,Sales,10,4,Technical Degree,1880,2,Female,2,Sales Executive,3,Married,5673,1,Yes,13,1,1,10,4,3,10,9,7
No,33,Travel_Rarely,Research & Development,2,3,Medical,39,3,Male,3,Laboratory Technician,4,Single,2496,4,No,11,4,0,7,3,3,1,1,0
Yes,31,Travel_Rarely,Research & Development,8,3,Life Sciences,1433,1,Female,2,Research Scientist,2,Single,1261,1,No,12,3,0,1,3,4,1,0,0
No,49,Travel_Rarely,Research & Development,3,2,Medical,1509,3,Female,2,Laboratory Technician,1,Married,4789,4,No,25,1,1,10,3,3,3,2,2
No,43,Travel_Rarely,Research & Development,12,3,Life Sciences,520,1,Male,2,Research Director,2,Divorced,14336,,No,11,3,1,25,3,3,25,10,9
No,30,Travel_Rarely,Research & Development,9,2,Medical,41,4,Male,2,Laboratory Technician,3,Single,2206,1,No,13,1,0,10,5,3,10,0,8
Yes,33,Travel_Rarely,Research & Development,2,2,Life Sciences,328,1,Female,3,Laboratory Technician,1,Married,2707,7,No,20,1,0,13,3,4,9,7,7
No,35,Travel_Rarely,Research & Development,22,3,Life Sciences,577,4,Male,1,Laboratory Technician,3,Single,4230,0,No,15,3,0,6,2,3,5,4,3
No,28,Travel_Rarely,Research & Development,29,1,Life Sciences,1514,3,Male,1,Manufacturing Director,2,Married,6549,1,No,14,2,2,8,2,2,8,6,7
No,34,Travel_Rarely,Sales,21,4,Life Sciences,621,4,Male,4,Sales Executive,4,Single,5337,1,No,12,4,0,10,3,3,10,7,7
Yes,41,Non-Travel,Research & Development,5,2,Life Sciences,1210,1,Male,2,Research Scientist,1,Divorced,2107,6,No,17,1,1,5,2,1,1,0,0
No,30,Travel_Rarely,Sales,27,5,Marketing,747,3,Male,3,Sales Executive,4,Divorced,5304,7,No,23,4,1,10,2,2,8,7,7
Yes,34,Non-Travel,Research & Development,16,4,Technical Degree,1905,4,Male,1,Research Scientist,1,Married,2307,1,Yes,23,2,1,5,2,3,5,2,0
No,57,Travel_Rarely,Sales,29,3,Marketing,568,1,Male,2,Manager,4,Divorced,14118,3,No,12,3,1,32,3,2,1,0,0
Yes,31,Travel_Frequently,Sales,2,3,Life Sciences,1379,3,Female,2,Sales Representative,4,Single,2785,7,No,14,3,0,3,3,4,1,0,0
No,37,Travel_Rarely,Research & Development,7,4,Medical,1885,4,Male,3,Research Scientist,1,Married,4284,5,Yes,22,3,1,16,2,3,5,3,4
Yes,28,Travel_Rarely,Research & Development,2,4,Medical,440,1,Male,1,Research Scientist,4,Married,3464,5,Yes,13,4,0,5,4,2,3,2,2
No,38,Travel_Frequently,Research & Development,7,3,Life Sciences,1382,4,Male,4,Research Scientist,3,Divorced,2610,1,No,11,4,3,4,2,3,4,2,3
No,29,Travel_Rarely,Research & Development,23,3,Life Sciences,495,4,Male,3,Research Scientist,4,Single,2201,9,No,16,4,0,6,4,3,3,2,2
No,28,Travel_Rarely,Sales,5,4,Medical,916,1,Male,3,Sales Executive,4,Single,4908,1,No,14,2,0,4,3,3,4,2,2
No,42,Travel_Rarely,Sales,4,4,Marketing,1171,2,Male,3,Sales Executive,1,Single,5155,7,No,13,4,0,9,3,4,6,4,5
No,29,Travel_Rarely,Research & Development,8,1,Other,1544,3,Female,1,Healthcare Representative,1,Married,9715,3,No,13,3,1,9,3,3,7,7,7
No,38,Travel_Rarely,Research & Development,9,2,Life Sciences,245,3,Female,3,Laboratory Technician,4,Single,2288,1,No,12,3,0,2,3,3,2,2,1
No,56,Travel_Rarely,Research & Development,4,4,Technical Degree,1191,4,Female,3,Manager,1,Divorced,19943,4,No,13,4,1,28,2,3,5,2,2
No,31,Travel_Rarely,Sales,2,1,Life Sciences,604,2,Male,3,Sales Executive,4,Single,6582,4,Yes,13,3,0,10,2,4,6,5,5
No,34,Travel_Rarely,Research & Development,1,2,Life Sciences,649,2,Male,2,Research Scientist,4,Married,3622,1,Yes,13,4,1,6,3,3,6,5,3
No,35,Travel_Rarely,Sales,16,3,Marketing,406,3,Male,3,Sales Executive,2,Married,8020,0,No,15,3,2,12,3,2,11,9,9
No,35,Non-Travel,Research & Development,8,4,Life Sciences,1630,3,Female,3,Healthcare Representative,3,Married,4148,1,No,12,4,1,15,5,3,14,11,9
No,35,Travel_Rarely,Research & Development,16,2,Other,1886,4,Female,2,Manufacturing Director,2,Married,4788,0,Yes,11,4,0,4,2,3,3,2,2
No,27,Travel_Rarely,Research & Development,,2,Medical,497,4,Male,3,Laboratory Technician,2,Divorced,3816,1,No,11,2,1,5,2,3,5,2,4
No,26,Travel_Rarely,Sales,,2,Medical,618,1,Male,3,Sales Executive,3,Divorced,4306,5,No,12,1,2,8,5,3,0,0,0
No,19,Travel_Rarely,Research & Development,,3,Life Sciences,1269,2,Female,4,Research Scientist,4,Single,2994,1,Yes,12,4,0,1,2,3,1,0,1
No,25,Travel_Rarely,Research & Development,,3,Technical Degree,1415,1,Male,3,Laboratory Technician,4,Married,3229,4,No,11,2,1,7,2,2,3,2,2
Yes,40,Travel_Rarely,Research & Development,7,3,Life Sciences,1649,1,Male,3,Laboratory Technician,1,Single,2166,3,Yes,14,2,0,10,3,1,4,2,3
No,27,Travel_Rarely,Research & Development,6,3,Life Sciences,1162,4,Male,2,Research Scientist,3,Married,2539,,No,13,3,1,4,0,3,4,2,2
No,41,Travel_Rarely,Sales,3,3,Life Sciences,2037,3,Male,2,Sales Executive,2,Divorced,8938,2,No,11,3,1,14,5,3,5,4,4
No,37,Travel_Rarely,Research & Development,5,2,Medical,460,4,Male,3,Manufacturing Director,4,Divorced,6347,7,No,16,3,2,8,2,2,6,2,4
Yes,31,Travel_Rarely,Sales,6,4,Life Sciences,163,2,Male,1,Sales Executive,3,Married,6172,4,Yes,18,2,0,12,3,2,7,7,7
No,25,Travel_Rarely,Sales,4,1,Marketing,885,3,Male,2,Sales Executive,1,Married,4256,1,No,12,1,0,5,1,4,5,2,3
No,40,Travel_Rarely,Sales,1,2,Medical,453,2,Male,1,Sales Executive,4,Married,7457,2,Yes,22,3,3,6,2,2,4,3,2
No,34,Non-Travel,Sales,10,3,Life Sciences,1774,4,Male,3,Sales Executive,3,Divorced,4001,1,Yes,14,3,1,15,3,3,15,14,7
No,27,Non-Travel,Research & Development,9,3,Medical,218,4,Male,3,Research Scientist,2,Divorced,2024,6,No,18,4,1,6,1,1,2,2,2
No,38,Travel_Frequently,Research & Development,23,3,Life Sciences,12,4,Male,2,Manufacturing Director,3,Single,9526,0,No,21,2,0,10,2,3,9,7,8
No,36,Non-Travel,Research & Development,9,4,Life Sciences,1949,1,Male,4,Laboratory Technician,2,Married,2810,1,No,22,2,0,5,3,3,5,4,2
No,46,Travel_Rarely,Sales,,3,Life Sciences,1527,3,Female,3,Manager,2,Married,16606,8,No,12,4,1,23,2,4,13,12,1
Yes,33,Travel_Rarely,Sales,16,3,Life Sciences,1758,1,Female,3,Sales Executive,1,Single,8564,2,Yes,20,3,0,11,2,2,0,0,0
No,30,Travel_Frequently,Research & Development,3,3,Medical,680,3,Female,3,Research Scientist,3,Divorced,2083,1,No,20,3,1,1,2,3,1,0,0
No,58,Travel_Rarely,Research & Development,23,4,Life Sciences,1308,1,Male,3,Research Scientist,3,Divorced,2372,1,No,12,4,2,2,3,3,2,2,2
