Attrition,Age,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany
No,42,Sales,5,2,Marketing,1029,Male,Manager,3,Married,18303,6,2,21,3,4,1
Yes,31,Sales,1,4,Life Sciences,1427,Female,Sales Representative,3,Single,1359,1,2,1,3,3,1
No,30,Sales,25,2,Technical Degree,475,Female,Sales Executive,3,Married,4736,7,2,4,2,4,2
No,53,Research & Development,1,4,Medical,1775,Female,Manufacturing Director,3,Married,12965,4,4,27,2,2,3
Yes,28,Research & Development,17,3,Technical Degree,1960,Male,Laboratory Technician,4,Divorced,2367,5,1,6,2,2,4
No,29,Research & Development,15,2,Life Sciences,15,Female,Laboratory Technician,3,Single,4193,0,4,10,3,3,9
Yes,40,Sales,22,2,Marketing,492,Male,Sales Executive,3,Married,6380,2,1,8,6,3,6
No,36,Human Resources,8,3,Life Sciences,878,Male,Human Resources,1,Married,2342,0,3,6,3,3,5
No,35,Research & Development,22,3,Life Sciences,381,Female,Manager,2,Divorced,11996,7,2,10,6,2,7
No,35,Research & Development,1,3,Medical,1369,Female,Laboratory Technician,4,Married,5363,0,2,10,0,3,9
No,41,Research & Development,7,2,Medical,1025,Female,Manufacturing Director,3,Single,5003,6,2,8,6,3,2
No,32,Sales,7,5,Marketing,1446,Male,Sales Executive,4,Married,9204,4,3,7,3,2,4
No,39,Sales,15,4,Marketing,1975,Male,Sales Executive,1,Single,13341,0,1,21,3,3,20
No,46,Sales,2,3,Life Sciences,1732,Male,Sales Executive,4,Divorced,10368,4,2,13,5,2,10
Yes,31,Sales,16,4,Marketing,1761,Male,Sales Executive,3,Married,8161,2,1,10,2,3,1
No,31,Research & Development,8,5,Life Sciences,1430,Female,Research Director,2,Single,16422,3,3,9,3,4,3
No,34,Research & Development,1,3,Medical,1184,Male,Healthcare Representative,1,Single,5343,0,3,14,3,3,13
Yes,37,Research & Development,10,4,Medical,1809,Male,Manufacturing Director,1,Single,4213,1,2,10,4,1,10
No,20,Sales,2,3,Medical,1657,Female,Sales Representative,3,Single,2783,1,1,2,3,3,2
No,24,Sales,24,3,Medical,632,Male,Sales Representative,4,Married,2400,0,3,3,3,3,2
No,39,Research & Development,10,5,Medical,1618,Male,Manufacturing Director,1,Married,5377,2,4,10,3,3,7
Yes,30,Sales,1,3,Life Sciences,1562,Male,Sales Executive,1,Married,9714,1,4,10,4,3,10
Yes,26,Research & Development,16,4,Medical,394,Male,Laboratory Technician,2,Divorced,2373,2,4,5,2,3,3
No,58,Research & Development,1,3,Medical,1423,Female,Research Director,1,Married,19701,3,3,32,3,3,9
No,33,Research & Development,4,3,Technical Degree,1771,Male,Research Scientist,2,Divorced,3055,5,4,11,2,2,9
No,35,Research & Development,1,4,Life Sciences,2052,Female,Research Scientist,4,Married,2977,1,4,4,5,3,4
No,49,Research & Development,25,4,Life Sciences,1617,Female,Laboratory Technician,1,Married,3211,1,4,10,3,2,9
No,31,Research & Development,5,4,Technical Degree,423,Male,Research Scientist,4,Married,4821,0,3,6,4,3,5
No,29,Sales,10,1,Marketing,463,Female,Sales Executive,2,Divorced,8268,1,1,7,2,3,7
No,24,Research & Development,1,2,Life Sciences,1981,Male,Healthcare Representative,3,Single,4617,1,2,4,2,2,4
Yes,35,Sales,18,4,Marketing,1380,Female,Sales Executive,3,Married,4614,0,3,5,0,2,4
No,36,Sales,8,4,Life Sciences,789,Male,Sales Executive,1,Single,7587,1,2,10,1,3,10
Yes,56,Research & Development,14,4,Life Sciences,161,Female,Research Scientist,2,Married,4963,9,1,7,2,3,5
No,28,Sales,26,3,Life Sciences,1387,Male,Sales Executive,1,Married,4724,1,3,5,0,3,5
No,35,Research & Development,3,3,Life Sciences,704,Male,Laboratory Technician,3,Married,1281,1,3,1,3,3,1
No,54,Research & Development,9,2,Life Sciences,1969,Female,Research Scientist,3,Married,2897,3,3,9,6,2,4
No,30,Sales,16,1,Life Sciences,1479,Male,Sales Executive,3,Married,5301,8,3,4,2,2,2
No,42,Research & Development,29,2,Life Sciences,547,Female,Research Scientist,3,Divorced,4556,2,2,19,3,3,5
No,54,Research & Development,2,4,Technical Degree,126,Female,Research Director,3,Married,13549,9,1,16,5,1,4
No,59,Research & Development,18,4,Medical,1283,Male,Manufacturing Director,4,Single,10512,6,4,25,6,2,9
No,52,Sales,29,4,Life Sciences,2019,Male,Sales Representative,4,Divorced,3482,2,2,16,3,2,9
No,38,Research & Development,15,2,Life Sciences,461,Male,Research Director,4,Divorced,11510,0,2,12,3,3,11
No,31,Research & Development,9,4,Life Sciences,493,Male,Research Scientist,2,Single,2657,0,4,3,5,3,2
No,33,Sales,10,5,Marketing,1268,Male,Sales Executive,3,Divorced,8380,0,4,10,3,3,9
No,33,Research & Development,15,2,Medical,2009,Female,Healthcare Representative,4,Married,4878,0,1,10,6,3,9
No,44,Research & Development,4,3,Medical,852,Male,Healthcare Representative,2,Single,5933,9,4,10,2,2,5
Yes,19,Sales,1,1,Technical Degree,235,Female,Sales Representative,1,Single,2325,0,1,1,5,4,0
No,37,Research & Development,2,2,Life Sciences,139,Male,Healthcare Representative,4,Divorced,5163,5,4,17,2,4,1
No,35,Human Resources,8,4,Technical Degree,1164,Male,Human Resources,3,Single,4323,1,2,6,2,1,5
No,37,Research & Development,10,1,Life Sciences,802,Female,Research Scientist,1,Divorced,2782,0,2,6,3,2,5
No,36,Sales,10,4,Technical Degree,1880,Female,Sales Executive,3,Married,5673,1,1,10,4,3,10
No,33,Research & Development,2,3,Medical,39,Male,Laboratory Technician,4,Single,2496,4,4,7,3,3,1
Yes,31,Research & Development,8,3,Life Sciences,1433,Female,Research Scientist,2,Single,1261,1,3,1,3,4,1
No,49,Research & Development,3,2,Medical,1509,Female,Laboratory Technician,1,Married,4789,4,1,10,3,3,3
No,43,Research & Development,12,3,Life Sciences,520,Male,Research Director,2,Divorced,14336,1,3,25,3,3,25
No,30,Research & Development,9,2,Medical,41,Male,Laboratory Technician,3,Single,2206,1,1,10,5,3,10
Yes,33,Research & Development,2,2,Life Sciences,328,Female,Laboratory Technician,1,Married,2707,7,1,13,3,4,9
No,35,Research & Development,22,3,Life Sciences,577,Male,Laboratory Technician,3,Single,4230,0,3,6,2,3,5
No,28,Research & Development,29,1,Life Sciences,1514,Male,Manufacturing Director,2,Married,6549,1,2,8,2,2,8
No,34,Sales,21,4,Life Sciences,621,Male,Sales Executive,4,Single,5337,1,4,10,3,3,10
Yes,41,Research & Development,5,2,Life Sciences,1210,Male,Research Scientist,1,Divorced,2107,6,1,5,2,1,1
No,30,Sales,27,5,Marketing,747,Male,Sales Executive,4,Divorced,5304,7,4,10,2,2,8
Yes,34,Research & Development,16,4,Technical Degree,1905,Male,Research Scientist,1,Married,2307,1,2,5,2,3,5
No,57,Sales,29,3,Marketing,568,Male,Manager,4,Divorced,14118,3,3,32,3,2,1
Yes,31,Sales,2,3,Life Sciences,1379,Female,Sales Representative,4,Single,2785,7,3,3,3,4,1
No,37,Research & Development,7,4,Medical,1885,Male,Research Scientist,1,Married,4284,5,3,16,2,3,5
Yes,28,Research & Development,2,4,Medical,440,Male,Research Scientist,4,Married,3464,5,4,5,4,2,3
No,38,Research & Development,7,3,Life Sciences,1382,Male,Research Scientist,3,Divorced,2610,1,4,4,2,3,4
No,29,Research & Development,23,3,Life Sciences,495,Male,Research Scientist,4,Single,2201,9,4,6,4,3,3
No,28,Sales,5,4,Medical,916,Male,Sales Executive,4,Single,4908,1,2,4,3,3,4
No,42,Sales,4,4,Marketing,1171,Male,Sales Executive,1,Single,5155,7,4,9,3,4,6
No,29,Research & Development,8,1,Other,1544,Female,Healthcare Representative,1,Married,9715,3,3,9,3,3,7
No,38,Research & Development,9,2,Life Sciences,245,Female,Laboratory Technician,4,Single,2288,1,3,2,3,3,2
No,56,Research & Development,4,4,Technical Degree,1191,Female,Manager,1,Divorced,19943,4,4,28,2,3,5
No,31,Sales,2,1,Life Sciences,604,Male,Sales Executive,4,Single,6582,4,3,10,2,4,6
No,34,Research & Development,1,2,Life Sciences,649,Male,Research Scientist,4,Married,3622,1,4,6,3,3,6
No,35,Sales,16,3,Marketing,406,Male,Sales Executive,2,Married,8020,0,3,12,3,2,11
No,35,Research & Development,8,4,Life Sciences,1630,Female,Healthcare Representative,3,Married,4148,1,4,15,5,3,14
No,35,Research & Development,16,2,Other,1886,Female,Manufacturing Director,2,Married,4788,0,4,4,2,3,3
No,27,Research & Development,1,2,Medical,497,Male,Laboratory Technician,2,Divorced,3816,1,2,5,2,3,5
No,26,Sales,29,2,Medical,618,Male,Sales Executive,3,Divorced,4306,5,1,8,5,3,0
No,19,Research & Development,25,3,Life Sciences,1269,Female,Research Scientist,4,Single,2994,1,4,1,2,3,1
No,25,Research & Development,1,3,Technical Degree,1415,Male,Laboratory Technician,4,Married,3229,4,2,7,2,2,3
Yes,40,Research & Development,7,3,Life Sciences,1649,Male,Laboratory Technician,1,Single,2166,3,2,10,3,1,4
No,27,Research & Development,6,3,Life Sciences,1162,Male,Research Scientist,3,Married,2539,1,3,4,0,3,4
No,41,Sales,3,3,Life Sciences,2037,Male,Sales Executive,2,Divorced,8938,2,3,14,5,3,5
No,37,Research & Development,5,2,Medical,460,Male,Manufacturing Director,4,Divorced,6347,7,3,8,2,2,6
Yes,31,Sales,6,4,Life Sciences,163,Male,Sales Executive,3,Married,6172,4,2,12,3,2,7
No,25,Sales,4,1,Marketing,885,Male,Sales Executive,1,Married,4256,1,1,5,1,4,5
No,40,Sales,1,2,Medical,453,Male,Sales Executive,4,Married,7457,2,3,6,2,2,4
No,34,Sales,10,3,Life Sciences,1774,Male,Sales Executive,3,Divorced,4001,1,3,15,3,3,15
No,27,Research & Development,9,3,Medical,218,Male,Research Scientist,2,Divorced,2024,6,4,6,1,1,2
No,38,Research & Development,23,3,Life Sciences,12,Male,Manufacturing Director,3,Single,9526,0,2,10,2,3,9
No,36,Research & Development,9,4,Life Sciences,1949,Male,Laboratory Technician,2,Married,2810,1,2,5,3,3,5
No,46,Sales,3,3,Life Sciences,1527,Female,Manager,2,Married,16606,8,4,23,2,4,13
Yes,33,Sales,16,3,Life Sciences,1758,Female,Sales Executive,1,Single,8564,2,3,11,2,2,0
No,30,Research & Development,3,3,Medical,680,Female,Research Scientist,3,Divorced,2083,1,3,1,2,3,1
No,58,Research & Development,23,4,Life Sciences,1308,Male,Research Scientist,3,Divorced,2372,1,4,2,3,3,2
No,39,Research & Development,8,1,Life Sciences,602,Female,Laboratory Technician,3,Married,3755,1,1,8,3,3,8
No,30,Research & Development,24,1,Life Sciences,11,Male,Laboratory Technician,3,Divorced,2693,1,2,1,2,3,1
No,48,Sales,2,1,Marketing,712,Male,Sales Executive,2,Married,8120,3,4,12,3,3,2
No,38,Research & Development,10,3,Medical,2015,Female,Research Director,3,Married,13206,3,1,20,3,3,18
No,38,Sales,2,2,Life Sciences,1355,Female,Sales Executive,1,Divorced,6893,3,4,11,3,3,7
Yes,28,Research & Development,2,4,Life Sciences,364,Male,Laboratory Technician,3,Single,3485,2,3,5,5,1,0
No,25,Sales,4,2,Life Sciences,527,Female,Sales Executive,4,Single,4487,1,2,5,3,3,5
No,37,Sales,1,4,Medical,1700,Male,Sales Executive,4,Divorced,9525,1,3,6,2,2,6
No,53,Sales,2,3,Marketing,1050,Female,Sales Executive,2,Married,7525,2,1,30,2,3,15
No,38,Research & Development,1,3,Life Sciences,743,Female,Manufacturing Director,3,Single,7861,4,4,10,4,4,1
No,31,Research & Development,9,1,Life Sciences,581,Male,Manufacturing Director,2,Divorced,10648,1,4,13,6,4,13
No,28,Research & Development,2,3,Life Sciences,1296,Male,Laboratory Technician,4,Married,3867,1,2,2,2,3,2
No,30,Research & Development,2,3,Medical,833,Female,Manufacturing Director,4,Single,6877,5,2,12,4,2,0
No,35,Research & Development,9,4,Life Sciences,496,Male,Healthcare Representative,2,Single,6540,9,3,10,5,3,1
No,43,Research & Development,9,3,Life Sciences,1813,Male,Research Scientist,3,Single,2438,4,3,7,2,2,3
No,48,Research & Development,1,4,Life Sciences,664,Female,Manager,1,Married,15402,7,1,21,3,1,3
No,41,Research & Development,10,3,Life Sciences,199,Male,Manager,1,Divorced,17181,4,2,21,2,2,7
Yes,26,Research & Development,3,1,Technical Degree,510,Male,Research Scientist,1,Single,3102,0,3,7,2,3,6
No,28,Sales,7,3,Life Sciences,1507,Male,Sales Executive,1,Single,4898,0,4,5,5,3,4
No,36,Research & Development,24,4,Life Sciences,419,Female,Laboratory Technician,2,Married,5674,7,3,11,3,3,9
No,27,Research & Development,8,5,Life Sciences,1094,Male,Laboratory Technician,3,Married,4621,1,4,3,4,3,3
No,43,Sales,26,2,Life Sciences,158,Male,Manager,4,Married,16959,1,4,25,3,4,25
No,41,Research & Development,9,4,Life Sciences,1772,Male,Laboratory Technician,1,Divorced,2289,1,2,5,2,3,5
No,24,Sales,10,4,Marketing,507,Female,Sales Executive,3,Divorced,4260,1,4,5,2,4,5
No,35,Research & Development,8,1,Life Sciences,63,Male,Laboratory Technician,4,Married,2269,1,4,1,2,3,1
No,54,Sales,3,3,Marketing,303,Female,Sales Executive,1,Married,5940,2,4,16,4,3,6
Yes,21,Sales,12,3,Life Sciences,494,Female,Sales Representative,2,Single,2716,1,4,1,0,3,1
No,31,Sales,2,2,Life Sciences,1996,Male,Sales Representative,3,Married,3067,0,3,3,1,3,2
No,40,Research & Development,2,3,Life Sciences,1346,Male,Research Scientist,4,Single,4661,1,3,9,4,3,9
Yes,19,Sales,22,1,Marketing,167,Male,Sales Representative,3,Single,1675,1,4,0,2,2,0
No,47,Research & Development,2,2,Medical,574,Female,Manufacturing Director,4,Divorced,5070,5,3,20,2,3,5
No,33,Sales,1,3,Medical,855,Male,Sales Executive,1,Divorced,4037,1,1,9,5,3,9
No,36,Research & Development,3,3,Technical Degree,1257,Male,Research Scientist,2,Married,3692,1,3,12,2,2,11
No,27,Sales,2,2,Medical,1898,Female,Sales Executive,3,Single,6500,0,2,9,5,2,8
No,26,Research & Development,3,3,Life Sciences,1581,Female,Research Scientist,4,Married,2061,1,1,1,5,3,1
No,29,Sales,20,3,Technical Degree,974,Female,Sales Representative,4,Married,2157,1,2,3,5,3,3
No,32,Research & Development,24,4,Life Sciences,772,Male,Laboratory Technician,4,Married,5309,1,4,10,2,3,10
No,52,Research & Development,3,3,Medical,543,Male,Manufacturing Director,3,Married,7969,2,3,28,4,3,5
Yes,29,Research & Development,14,1,Other,1421,Female,Healthcare Representative,4,Single,7553,0,1,9,1,3,8
Yes,35,Research & Development,14,4,Other,1010,Male,Laboratory Technician,2,Divorced,3743,1,4,5,2,1,4
No,27,Research & Development,5,2,Life Sciences,1850,Female,Laboratory Technician,4,Single,2379,0,3,6,3,2,5
No,55,Research & Development,1,3,Medical,374,Male,Manager,1,Single,19045,0,3,37,2,3,36
No,48,Research & Development,22,3,Medical,1900,Female,Manager,4,Divorced,17174,3,2,24,3,3,22
No,40,Research & Development,26,2,Medical,1180,Female,Research Scientist,4,Married,4422,3,4,16,3,1,1
No,37,Research & Development,11,3,Other,306,Male,Research Director,4,Divorced,12185,1,3,10,1,3,10
Yes,25,Sales,24,1,Life Sciences,1273,Male,Sales Representative,4,Single,1118,1,4,1,4,3,1
No,37,Research & Development,6,3,Medical,474,Male,Research Scientist,1,Divorced,5974,4,1,13,2,3,7
No,32,Research & Development,3,2,Life Sciences,727,Female,Research Director,4,Single,11159,3,4,10,6,3,7
No,33,Research & Development,6,3,Life Sciences,692,Male,Healthcare Representative,4,Divorced,7725,3,3,15,2,1,13
No,31,Research & Development,24,1,Technical Degree,1736,Female,Manufacturing Director,4,Single,5238,2,4,9,3,2,5
No,29,Research & Development,2,1,Life Sciences,1513,Female,Laboratory Technician,2,Married,3180,0,3,4,3,3,3
No,34,Research & Development,3,4,Life Sciences,1115,Male,Research Scientist,4,Married,2979,3,4,6,2,3,0
No,32,Research & Development,5,2,Life Sciences,21,Male,Research Scientist,2,Divorced,3298,0,4,7,5,2,6
No,35,Research & Development,1,4,Medical,1172,Male,Laboratory Technician,3,Married,2258,6,2,10,2,3,8
No,52,Research & Development,4,2,Life Sciences,546,Female,Manager,4,Married,16555,2,4,31,2,1,5
No,41,Sales,23,2,Life Sciences,1678,Male,Sales Executive,3,Single,7082,3,4,21,2,3,2
No,21,Sales,22,1,Technical Degree,669,Male,Sales Representative,3,Single,3447,1,3,3,2,3,3
No,32,Sales,2,1,Life Sciences,1190,Female,Sales Representative,1,Divorced,2827,1,3,1,3,3,1
No,47,Sales,14,4,Marketing,728,Male,Sales Executive,1,Single,4960,2,4,20,2,3,7
No,43,Sales,15,3,Life Sciences,754,Male,Sales Executive,4,Married,6804,3,3,7,5,3,2
No,36,Sales,1,5,Medical,479,Female,Sales Executive,4,Single,6653,4,2,7,6,3,1
Yes,29,Research & Development,25,5,Technical Degree,565,Female,Research Scientist,2,Married,2546,5,2,6,2,4,2
No,26,Research & Development,1,2,Medical,1083,Male,Laboratory Technician,1,Married,3955,1,1,6,2,3,5
Yes,29,Sales,9,3,Marketing,1752,Female,Sales Representative,2,Single,2760,1,3,2,3,3,2
No,33,Human Resources,3,2,Human Resources,910,Male,Human Resources,2,Divorced,2277,3,3,7,4,4,4
No,45,Research & Development,7,4,Life Sciences,341,Male,Manufacturing Director,3,Married,6434,4,4,9,1,3,3
No,37,Research & Development,25,2,Medical,1161,Female,Healthcare Representative,4,Divorced,5731,7,3,9,2,3,6
Yes,29,Research & Development,1,3,Technical Degree,300,Male,Research Scientist,3,Single,2058,0,4,7,1,2,6
No,37,Research & Development,10,2,Life Sciences,715,Male,Research Scientist,4,Single,4680,3,1,4,2,3,1
No,34,Research & Development,5,2,Medical,1696,Male,Laboratory Technician,4,Married,3986,1,3,15,3,4,15
No,32,Sales,1,4,Marketing,2016,Female,Sales Executive,4,Married,10422,1,3,14,3,3,14
No,44,Research & Development,29,4,Other,1225,Male,Research Scientist,4,Single,4541,1,2,20,3,3,20
No,25,Research & Development,7,1,Medical,143,Male,Research Scientist,4,Married,2889,1,3,2,2,3,2
No,38,Research & Development,2,5,Medical,773,Male,Research Scientist,3,Married,3057,6,2,6,0,1,1
No,34,Research & Development,3,3,Life Sciences,1658,Female,Research Scientist,2,Divorced,5433,1,3,11,2,3,11
No,34,Research & Development,26,1,Technical Degree,1374,Female,Research Scientist,3,Divorced,2029,1,3,5,2,3,5
No,33,Research & Development,5,4,Life Sciences,428,Female,Manager,2,Married,11878,6,2,12,2,3,10
Yes,43,Sales,9,3,Marketing,1188,Female,Sales Executive,3,Single,5346,8,2,7,2,2,4
No,60,Research & Development,7,3,Life Sciences,549,Female,Manager,1,Married,19566,5,4,33,5,1,29
No,49,Research & Development,20,4,Medical,170,Female,Manufacturing Director,1,Married,6567,1,3,16,2,2,15
No,40,Research & Development,9,4,Medical,1166,Female,Research Director,3,Single,13499,9,3,20,3,2,18
No,40,Research & Development,2,3,Medical,1474,Male,Research Scientist,3,Divorced,2345,2,3,8,3,4,3
Yes,30,Research & Development,22,3,Life Sciences,1004,Female,Research Scientist,3,Married,2132,4,2,7,2,3,5
No,47,Research & Development,5,5,Life Sciences,447,Male,Research Director,3,Married,18300,4,2,21,2,3,3
No,42,Research & Development,28,4,Technical Degree,551,Female,Healthcare Representative,4,Married,4523,0,4,7,4,4,6
No,26,Research & Development,6,3,Other,1918,Male,Laboratory Technician,4,Married,2544,0,1,8,3,3,7
No,39,Research & Development,1,1,Life Sciences,1026,Female,Manufacturing Director,4,Married,12742,1,3,21,3,3,21
No,33,Research & Development,14,3,Medical,252,Female,Research Scientist,2,Married,2756,1,4,8,5,3,8
Yes,30,Sales,26,4,Marketing,299,Female,Sales Executive,1,Single,6696,5,3,9,5,2,6
No,31,Sales,20,3,Life Sciences,1135,Male,Sales Representative,4,Married,2791,0,1,3,4,3,2
No,55,Research & Development,2,1,Life Sciences,1096,Male,Manufacturing Director,2,Married,10976,3,2,23,4,3,3
Yes,31,Research & Development,29,2,Medical,355,Male,Laboratory Technician,2,Single,3479,0,2,6,2,4,5
No,55,Research & Development,22,3,Technical Degree,1694,Male,Research Scientist,2,Divorced,3537,5,4,8,1,3,4
No,46,Sales,3,1,Marketing,1124,Male,Manager,3,Married,17465,3,4,23,3,3,12
Yes,38,Research & Development,29,1,Medical,282,Male,Healthcare Representative,1,Married,6673,7,2,17,2,3,1
No,53,Sales,2,4,Life Sciences,23,Female,Manager,4,Married,15427,2,3,31,3,3,25
No,51,Research & Development,6,2,Medical,1297,Female,Laboratory Technician,3,Single,2838,0,2,8,6,2,7
No,23,Research & Development,10,1,Medical,784,Male,Research Scientist,3,Single,3505,1,4,2,3,3,2
No,39,Research & Development,25,2,Life Sciences,1397,Male,Healthcare Representative,3,Married,10920,3,2,13,2,3,6
No,42,Research & Development,2,3,Life Sciences,2031,Male,Manager,3,Married,18880,5,1,24,2,2,22
No,52,Research & Development,1,2,Life Sciences,976,Male,Manager,4,Married,17099,2,2,26,2,2,9
No,44,Research & Development,2,3,Life Sciences,1703,Female,Healthcare Representative,4,Married,7879,1,2,9,2,3,8
No,40,Sales,10,4,Marketing,954,Male,Sales Executive,2,Divorced,9705,2,2,11,2,2,1
Yes,28,Research & Development,2,2,Medical,1504,Male,Laboratory Technician,1,Single,2561,7,3,8,2,2,0
No,31,Research & Development,20,3,Life Sciences,1881,Male,Laboratory Technician,3,Divorced,4197,1,1,10,2,3,10
No,40,Research & Development,2,3,Medical,521,Female,Laboratory Technician,3,Married,3448,6,2,20,3,3,1
No,36,Research & Development,6,4,Life Sciences,1221,Male,Laboratory Technician,3,Divorced,2741,1,3,7,4,3,7
No,41,Sales,10,2,Life Sciences,599,Male,Sales Executive,4,Single,6230,7,4,16,3,3,14
Yes,35,Research & Development,23,2,Life Sciences,261,Male,Manufacturing Director,3,Married,5916,3,1,8,1,3,1
Yes,56,Research & Development,24,2,Life Sciences,1907,Male,Laboratory Technician,4,Single,2587,1,4,5,3,3,4
Yes,38,Research & Development,2,3,Medical,1573,Male,Manufacturing Director,2,Married,4855,4,1,7,2,3,5
Yes,18,Research & Development,3,3,Life Sciences,405,Male,Laboratory Technician,3,Single,1420,1,3,0,2,3,0
No,22,Research & Development,2,1,Technical Degree,169,Male,Laboratory Technician,4,Married,2523,0,3,3,2,3,2
No,54,Research & Development,17,3,Technical Degree,1013,Female,Manufacturing Director,3,Married,10739,8,3,22,2,3,10
No,35,Research & Development,6,4,Life Sciences,691,Male,Research Scientist,4,Single,6646,1,2,17,3,3,17
No,35,Research & Development,5,4,Technical Degree,464,Male,Manufacturing Director,2,Single,8095,0,4,17,5,3,16
No,49,Research & Development,8,1,Life Sciences,2,Male,Research Scientist,2,Married,5130,1,4,10,3,3,10
No,36,Human Resources,13,3,Human Resources,829,Male,Human Resources,2,Married,2143,4,2,8,2,3,5
Yes,46,Sales,9,3,Marketing,1457,Male,Sales Executive,4,Divorced,10096,4,1,28,1,4,7
No,32,Sales,9,2,Medical,195,Male,Sales Executive,4,Divorced,4668,0,4,9,2,4,8
No,32,Research & Development,1,1,Life Sciences,134,Male,Research Scientist,1,Single,2956,1,4,1,2,3,1
No,29,Research & Development,1,3,Life Sciences,1264,Female,Research Director,4,Divorced,16124,3,2,9,2,2,7
No,35,Sales,8,2,Marketing,1243,Female,Sales Executive,4,Married,10377,4,2,16,6,2,13
No,30,Sales,12,3,Technical Degree,533,Female,Sales Executive,3,Single,6577,0,2,6,6,3,5
No,47,Sales,14,3,Medical,1503,Female,Sales Executive,3,Married,4591,3,3,11,4,2,5
No,38,Sales,16,3,Life Sciences,1583,Female,Sales Executive,2,Single,4198,2,2,8,5,4,3
No,31,Research & Development,1,1,Life Sciences,1011,Female,Manufacturing Director,1,Married,4148,1,3,4,1,3,4
No,26,Research & Development,23,3,Life Sciences,560,Female,Research Scientist,4,Divorced,2886,1,2,3,3,1,3
No,27,Research & Development,17,3,Technical Degree,233,Male,Research Scientist,2,Married,3058,0,4,6,3,2,5
No,40,Research & Development,14,3,Medical,1128,Male,Research Director,3,Single,19626,1,1,21,2,4,20
No,26,Research & Development,2,1,Medical,1407,Male,Research Scientist,4,Single,3904,0,4,5,2,3,4
Yes,24,Human Resources,22,1,Human Resources,1714,Male,Human Resources,3,Married,1555,1,3,1,2,3,1
Yes,22,Research & Development,7,1,Life Sciences,1878,Male,Research Scientist,2,Single,2472,1,1,1,2,3,1
No,37,Research & Development,21,3,Life Sciences,267,Male,Research Scientist,1,Married,3564,1,1,8,3,2,8
No,27,Sales,8,4,Marketing,458,Female,Sales Executive,2,Married,6214,1,1,8,3,3,8
No,29,Research & Development,7,1,Medical,912,Female,Laboratory Technician,4,Divorced,2532,6,3,8,5,3,4
No,43,Sales,25,3,Medical,1076,Male,Sales Executive,4,Divorced,10798,5,3,18,5,3,1
Yes,55,Sales,13,4,Marketing,1372,Male,Sales Executive,3,Single,13695,6,3,24,2,2,19
Yes,33,Research & Development,29,4,Medical,1101,Female,Research Scientist,3,Single,4508,1,2,14,4,3,13
No,53,Research & Development,7,3,Life Sciences,730,Male,Research Director,3,Married,14814,3,3,32,3,3,5
No,56,Research & Development,9,3,Medical,762,Male,Healthcare Representative,4,Married,11103,7,3,30,1,2,10
No,27,Sales,2,1,Life Sciences,1371,Male,Sales Executive,4,Single,5071,3,2,8,3,3,6
No,58,Sales,21,3,Life Sciences,1938,Female,Manager,4,Married,17875,4,3,29,2,2,1
Yes,51,Research & Development,8,4,Life Sciences,179,Male,Manufacturing Director,4,Single,10650,2,4,18,2,3,4
No,39,Human Resources,3,3,Human Resources,760,Female,Human Resources,2,Married,6389,9,3,12,3,1,8
Yes,36,Research & Development,9,3,Medical,90,Male,Research Scientist,3,Married,3388,0,1,2,0,2,1
No,32,Sales,8,3,Medical,1304,Male,Sales Executive,4,Married,6209,1,3,10,4,4,10
No,41,Research & Development,28,4,Life Sciences,2034,Female,Manufacturing Director,2,Married,13570,0,3,21,3,3,20
No,50,Sales,12,3,Marketing,174,Female,Sales Executive,4,Single,9208,4,4,16,3,3,2
No,31,Research & Development,7,4,Life Sciences,76,Male,Laboratory Technician,4,Divorced,5915,3,4,10,3,2,7
No,40,Research & Development,10,4,Life Sciences,483,Female,Laboratory Technician,3,Married,2213,3,3,10,3,3,7
Yes,42,Research & Development,19,3,Medical,752,Male,Research Scientist,3,Divorced,2759,6,4,7,2,3,2
No,36,Sales,17,2,Marketing,1908,Male,Sales Executive,2,Married,5507,2,3,12,1,1,4
No,38,Research & Development,1,3,Technical Degree,950,Female,Research Director,1,Married,13582,1,2,15,3,3,15
No,29,Sales,10,3,Life Sciences,749,Male,Sales Representative,3,Single,2642,1,3,1,6,3,1
No,41,Sales,2,4,Life Sciences,410,Male,Manager,2,Single,16015,1,2,22,2,3,22
No,42,Human Resources,2,5,Medical,1231,Male,Human Resources,1,Married,6272,7,1,10,3,4,4
No,50,Research & Development,7,2,Medical,80,Female,Research Director,3,Divorced,18740,5,4,29,2,2,27
No,37,Research & Development,1,3,Technical Degree,623,Female,Manufacturing Director,4,Single,7491,4,4,12,3,4,6
No,35,Research & Development,18,5,Life Sciences,1621,Male,Research Scientist,1,Married,5208,1,4,16,2,3,16
No,58,Sales,2,3,Medical,1824,Male,Manager,2,Divorced,16291,4,4,37,0,2,16
No,29,Research & Development,27,3,Medical,793,Female,Healthcare Representative,3,Married,4335,4,1,11,3,2,8
No,27,Sales,23,1,Medical,1864,Female,Sales Representative,3,Married,3540,1,4,9,5,3,9
No,43,Research & Development,11,3,Life Sciences,1971,Male,Healthcare Representative,3,Married,7510,1,2,10,1,3,10
