Attrition,Age,DistanceFromHome,EmployeeNumber,Gender,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,TotalWorkingYears
0,32,9,195,Male,4,Divorced,4668,No,17,9
1,30,12,648,Male,1,Married,2033,No,18,1
0,39,10,429,Male,1,Married,17068,Yes,14,21
0,27,10,733,Male,1,Divorced,8793,No,21,9
0,37,10,518,Male,2,Single,4197,Yes,12,18
0,35,1,314,Female,3,Single,8789,No,14,10
1,35,14,1010,Male,2,Divorced,3743,Yes,24,5
0,29,1,1954,Male,1,Married,5373,No,12,6
0,38,23,12,Male,3,Single,9526,No,21,10
0,24,9,1707,Male,3,Married,4401,No,16,5
0,31,3,1948,Male,1,Divorced,3065,Yes,13,4
0,22,11,511,Female,2,Married,2244,No,13,2
0,34,13,1951,Male,3,Divorced,8628,No,18,9
0,30,2,548,Female,4,Single,6091,No,20,11
0,56,11,1935,Female,1,Married,5380,No,16,6
1,23,9,2023,Male,1,Married,1790,No,19,1
1,21,7,1780,Male,2,Single,2679,No,13,1
1,33,29,1101,Female,3,Single,4508,No,22,14
0,32,1,134,Male,1,Single,2956,No,13,1
1,46,10,1869,Female,2,Married,7314,No,21,14
0,29,4,1762,Female,1,Divorced,2109,No,13,1
0,45,2,783,Male,3,Single,6632,No,13,9
0,45,4,972,Male,2,Married,4447,No,12,9
0,38,2,1355,Female,1,Divorced,6893,No,15,11
0,31,1,1011,Female,1,Married,4148,No,12,4
1,33,15,582,Male,3,Married,13610,Yes,12,15
1,26,8,796,Male,1,Single,5326,No,17,6
1,32,25,911,Male,4,Single,2795,Yes,24,1
0,29,15,1202,Female,4,Married,2168,Yes,18,6
0,50,1,323,Female,4,Divorced,19517,No,11,32
0,32,26,333,Male,4,Married,4465,No,18,4
0,47,4,1003,Female,4,Single,4163,Yes,17,9
0,41,1,534,Male,1,Married,8392,No,16,10
1,38,29,282,Male,1,Married,6673,Yes,19,17
0,40,11,1985,Female,3,Married,6323,No,11,10
0,32,7,420,Male,3,Married,5484,No,14,13
1,27,17,1405,Female,3,Single,2394,Yes,13,8
0,29,2,1590,Male,4,Divorced,8853,No,19,6
1,29,24,1928,Male,1,Single,1091,No,17,1
1,19,2,566,Male,4,Single,2564,No,12,1
0,38,4,1687,Female,3,Married,3306,No,19,7
0,48,22,1900,Female,4,Divorced,17174,No,11,24
0,38,3,193,Female,3,Single,4317,Yes,20,19
0,27,2,1648,Male,4,Single,2580,No,13,6
1,31,2,1464,Male,4,Married,3722,Yes,13,7
0,35,8,1630,Female,3,Married,4148,No,12,15
0,33,15,2009,Female,4,Married,4878,Yes,13,10
0,49,20,170,Female,1,Married,6567,No,14,16
0,23,2,113,Male,1,Divorced,2322,No,13,3
0,46,5,103,Male,2,Divorced,5021,Yes,22,16
0,40,2,2048,Male,3,Single,2809,No,14,8
0,35,11,2003,Male,3,Married,2660,Yes,11,5
0,54,10,1980,Female,1,Single,4440,Yes,19,9
0,35,4,53,Male,4,Divorced,1951,No,12,1
0,25,18,1399,Male,3,Married,6232,No,11,6
0,49,18,275,Male,4,Divorced,6804,Yes,15,7
0,46,1,244,Female,1,Divorced,10453,No,25,24
0,45,28,1719,Female,2,Single,16704,No,11,21
1,26,4,401,Male,4,Single,5828,Yes,12,8
1,33,25,1108,Male,2,Single,2313,Yes,20,5
0,31,2,604,Male,4,Single,6582,Yes,13,10
0,46,2,38,Female,1,Single,18947,No,12,22
1,34,7,147,Male,3,Single,6074,Yes,24,9
0,33,2,1207,Male,3,Married,3600,No,13,5
1,43,17,1767,Male,3,Married,2437,Yes,16,6
0,52,29,2019,Male,4,Divorced,3482,No,15,16
0,29,29,1859,Male,3,Divorced,6384,No,17,11
0,36,8,990,Male,4,Divorced,5079,No,13,12
0,38,2,1835,Female,4,Married,5405,Yes,20,20
0,60,28,573,Female,1,Married,10266,No,19,22
0,35,22,577,Male,3,Single,4230,No,15,6
0,34,4,523,Female,3,Married,6538,No,15,6
1,28,2,828,Male,3,Single,4382,No,17,5
0,30,25,475,Female,3,Married,4736,Yes,12,4
0,31,7,76,Male,4,Divorced,5915,No,22,10
0,39,21,1390,Male,4,Married,6120,Yes,12,8
0,36,3,1425,Female,2,Single,9278,Yes,16,15
0,46,7,1007,Male,3,Divorced,10845,No,13,13
1,30,5,1017,Female,2,Single,2422,No,17,4
