Attrition,Age,Department,DistanceFromHome,EducationField,Gender,MaritalStatus,MonthlyIncome,RelationshipSatisfaction,WorkLifeBalance
No,48,Research & Development,22,Medical,Female,Divorced,17174,2,3
No,50,Research & Development,24,Life Sciences,Male,Married,13973,4,3
No,36,Sales,10,Medical,Male,Single,9980,4,2
No,31,Sales,5,Life Sciences,Female,Married,5476,1,3
No,55,Research & Development,14,Medical,Male,Single,18722,4,3
No,42,Sales,14,Medical,Female,Single,6244,1,3
Yes,40,Sales,24,Life Sciences,Female,Single,13194,4,2
No,46,Sales,4,Marketing,Female,Married,18789,3,3
No,46,Sales,3,Life Sciences,Female,Married,16606,4,4
No,29,Sales,3,Medical,Female,Married,5561,1,2
No,41,Research & Development,5,Life Sciences,Male,Single,6870,1,1
No,55,Research & Development,1,Medical,Male,Single,19045,3,3
No,25,Sales,28,Life Sciences,Male,Married,8639,4,3
No,35,Research & Development,5,Technical Degree,Male,Single,8095,4,3
No,34,Sales,28,Marketing,Female,Married,6712,4,3
No,31,Research & Development,12,Medical,Female,Married,5855,3,1
No,30,Research & Development,16,Life Sciences,Male,Married,5294,3,3
Yes,28,Research & Development,24,Technical Degree,Male,Single,8722,1,2
No,46,Sales,2,Marketing,Female,Married,17048,1,3
Yes,45,Sales,2,Marketing,Female,Single,18824,1,3
No,33,Research & Development,28,Life Sciences,Male,Married,5207,2,3
No,49,Research & Development,2,Life Sciences,Male,Married,19161,4,3
No,34,Sales,3,Life Sciences,Female,Single,6029,1,3
No,59,Research & Development,2,Life Sciences,Female,Single,13726,1,3
No,52,Research & Development,4,Life Sciences,Female,Married,16555,4,1
No,44,Sales,28,Medical,Female,Married,13320,3,3
No,35,Sales,18,Medical,Male,Married,5561,4,1
No,39,Sales,21,Life Sciences,Female,Married,5736,3,3
No,55,Research & Development,8,Medical,Male,Divorced,13577,4,3
No,36,Sales,8,Technical Degree,Male,Divorced,5079,4,3
No,35,Research & Development,16,Life Sciences,Female,Single,8606,4,1
No,31,Sales,8,Life Sciences,Male,Divorced,10793,1,3
